display_name,name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating,img
Cinnamon Toast Crunch,cinnamon_toast_crunch,G,C,120,1,3,210,0,13,9,45,25,2,1,0.75,19.823573,cinnamon_toast_crunch
Golden Grahams,golden_grahams,G,C,110,1,1,280,0,15,9,45,25,2,1,0.75,23.804043,golden_grahams
Basic 4,basic_4,G,C,130,3,2,210,2,18,8,100,25,3,1.33,0.75,37.038562,basic_4
Raisin Nut Bran,raisin_nut_bran,G,C,100,3,2,140,2.5,10.5,8,140,25,3,1,0.5,39.7034,raisin_nut_bran
Cracklin' Oat Bran,cracklin_oat_bran,K,C,110,3,3,140,4,10,7,160,25,3,1,0.5,40.448772,cracklin_oat_bran
Frosted Mini-Wheats,frosted_mini_wheats,K,C,100,3,0,0,3,14,7,100,25,2,1,0.8,58.345141,frosted_mini_wheats
Life,life,Q,C,100,4,2,150,2,12,6,95,25,2,1,0.67,45.328074,life
Quaker Oat Squares,quaker_oat_squares,Q,C,100,4,1,135,2,14,6,110,25,3,1,0.5,49.511874,quaker_oat_squares
100% Bran,100_bran,N,C,70,4,1,130,10,5,6,280,25,3,1,0.33,68.402973,100%_bran
Multi-Grain Cheerios,multi_grain_cheerios,G,C,100,2,1,220,2,15,6,90,25,1,1,1,40.105965,multi_grain_cheerios
Bran Flakes,bran_flakes,P,C,90,3,0,210,5,13,5,190,25,3,1,0.67,53.313813,bran_flakes
Grape Nuts Flakes,grape_nuts_flakes,P,C,100,3,1,140,3,15,5,85,25,3,1,0.88,52.076897,grape_nuts_flakes
All-Bran,all_bran,K,C,70,4,1,260,9,7,5,320,25,3,1,0.33,59.425505,all_bran
Great Grains Pecan,great_grains_pecan,P,C,120,3,3,75,3,13,4,100,25,3,1,0.33,45.811716,great_grains_pecan
Corn Chex,corn_chex,R,C,110,2,0,280,0,22,3,25,25,1,1,1,41.445019,corn_chex
Wheat Chex,wheat_chex,R,C,100,3,1,230,3,17,3,115,25,1,1,0.67,49.787445,wheat_chex
Grape-Nuts,grape_nuts,P,C,110,3,0,170,3,17,3,90,25,3,1,0.25,53.371007,grape_nuts
Crispix,crispix,K,C,110,2,0,220,1,21,3,30,25,3,1,1,46.895644,crispix
Product 19,product_19,K,C,100,3,0,320,1,20,3,45,100,3,1,1,41.50354,product_19
Rice Krispies,rice_krispies,K,C,110,2,0,290,0,22,3,35,25,1,1,1,40.560159,rice_krispies
Special K,special_k,K,C,110,6,0,230,1,16,3,55,25,1,1,1,53.131324,special_k
Kix,kix,G,C,110,2,1,260,0,21,3,40,25,2,1,1.5,39.241114,kix
Total Corn Flakes,total_corn_flakes,G,C,110,2,1,200,0,21,3,35,100,3,1,1,38.839746,total_corn_flakes
Total Whole Grain,total_whole_grain,G,C,100,3,1,200,3,16,3,110,100,3,1,1,46.658844,total_whole_grain
Wheaties,wheaties,G,C,100,3,1,200,3,17,3,110,25,1,1,1,51.592193,wheaties
Maypo,maypo,A,H,100,4,1,0,0,16,3,95,25,2,1,1,54.850917,maypo
Rice Chex,rice_chex,R,C,110,1,0,240,0,23,2,30,25,1,1,1.13,41.998933,rice_chex
Corn Flakes,corn_flakes,K,C,100,2,0,290,1,21,2,35,25,1,1,1,45.863324,corn_flakes
Nutri-grain Wheat,nutri_grain_wheat,K,C,90,3,0,170,3,18,2,90,25,3,1,1,59.642837,nutri_grain_wheat
Cheerios,cheerios,G,C,110,6,2,290,2,17,1,105,25,1,1,1.25,50.764999,cheerios
Puffed Rice,puffed_rice,Q,C,50,1,0,0,0,13,0,15,0,3,0.5,1,60.756112,puffed_rice
Puffed Wheat,puffed_wheat,Q,C,50,2,0,0,1,10,0,50,0,3,0.5,1,63.005645,puffed_wheat
Cream of Wheat (Quick),cream_of_wheat,N,H,100,3,0,80,1,21,0,-1,0,2,1,1,64.533816,cream_of_wheat
Shredded Wheat,shredded_wheat,N,C,80,2,0,0,3,16,0,95,0,1,0.83,1,68.235885,shredded_wheat
Shredded Wheat 'n'Bran,shredded_wheat_n_bran,N,C,90,3,0,0,4,19,0,140,0,1,1,0.67,74.472949,shredded_wheat_n_bran
Shredded Wheat spoon size,shredded_wheat_spoon_size,N,C,90,3,0,0,3,20,0,120,0,1,1,0.67,72.801787,shredded_wheat_spoon_size
Quaker Oatmeal,quaker_oatmeal,Q,H,100,5,2,0,2.7,-1,-1,110,0,1,1,0.67,50.828392,quaker_oatmeal
